word,book1_count,book2_count,book1_per_10k,book2_per_10k,g2_score,distinctive_to
comforts,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
dwell,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
merely,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
gentleness,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
object,8,12,10.757025682398815,7.004845017803981,0.8524914716722658,Book 1
suffer,2,9,2.689256420599704,5.253633763352986,0.8388357954206076,Book 2
called,2,9,2.689256420599704,5.253633763352986,0.8388357954206076,Book 2
many,4,15,5.378512841199408,8.756056272254977,0.8196505067455475,Book 2
same,3,12,4.033884630899556,7.004845017803981,0.8111130317233086,Book 2
very,3,12,4.033884630899556,7.004845017803981,0.8111130317233086,Book 2
have,26,48,34.960333467796154,28.019380071215924,0.8067889412192626,Book 1
here,4,5,5.378512841199408,2.9186854240849924,0.8000605064890429,Book 1
call,4,5,5.378512841199408,2.9186854240849924,0.8000605064890429,Book 1
beauty,4,5,5.378512841199408,2.9186854240849924,0.8000605064890429,Book 1
take,5,7,6.72314105149926,4.086159593718989,0.6969053658397604,Book 1
cause,5,7,6.72314105149926,4.086159593718989,0.6969053658397604,Book 1
also,6,9,8.067769261799112,5.253633763352986,0.6393686037542019,Book 1
themselves,6,9,8.067769261799112,5.253633763352986,0.6393686037542019,Book 1
think,6,9,8.067769261799112,5.253633763352986,0.6393686037542019,Book 1
never,8,25,10.757025682398815,14.59342712042496,0.5927474856874273,Book 2
greatest,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
prison,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
attain,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
gives,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
harvest,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
except,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
teach,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
unrest,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
faith,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
governed,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
thing,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
lies,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
changes,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
masters,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
hate,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
content,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
whilst,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
searching,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
simple,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
disappointment,1,5,1.344628210299852,2.9186854240849924,0.588770930341058,Book 2
give,4,14,5.378512841199408,8.172319187437978,0.5859374361888974,Book 2
purity,4,14,5.378512841199408,8.172319187437978,0.5859374361888974,Book 2
wise,3,11,4.033884630899556,6.421107932986983,0.5538400514341135,Book 2
against,3,11,4.033884630899556,6.421107932986983,0.5538400514341135,Book 2
